customer_id,last_purchase_date,recency_days
17428,"2011-12-09 09:45:00",0
13777,"2011-12-09 12:25:00",0
14051,"2011-12-09 10:20:00",0
17001,"2011-12-09 09:38:00",0
15311,"2011-12-09 12:00:00",0
17389,"2011-12-09 09:38:00",0
12423,"2011-12-09 10:10:00",0
12433,"2011-12-09 10:02:00",0
14441,"2011-12-09 09:07:00",0
17364,"2011-12-09 09:00:00",0
12518,"2011-12-09 10:13:00",0
12526,"2011-12-09 12:09:00",0
16446,"2011-12-09 09:15:00",0
15344,"2011-12-09 10:45:00",0
14446,"2011-12-09 11:34:00",0
12662,"2011-12-09 11:59:00",0
12680,"2011-12-09 12:50:00",0
15910,"2011-12-09 10:51:00",0
12713,"2011-12-09 12:16:00",0
15804,"2011-12-09 12:31:00",0
12748,"2011-12-09 12:20:00",0
16954,"2011-12-09 09:46:00",0
15694,"2011-12-09 09:44:00",0
16558,"2011-12-09 10:20:00",0
17754,"2011-12-09 11:20:00",0
16705,"2011-12-09 12:08:00",0
14422,"2011-12-09 11:26:00",0
13426,"2011-12-09 08:59:00",0
12985,"2011-12-09 10:46:00",0
13069,"2011-12-09 08:39:00",0
13113,"2011-12-09 12:49:00",0
17581,"2011-12-09 12:21:00",0
16626,"2011-12-09 11:56:00",0
18102,"2011-12-09 11:50:00",0
17490,"2011-12-09 09:08:00",0
12358,"2011-12-08 10:26:00",1
17522,"2011-12-08 12:31:00",1
17841,"2011-12-08 12:07:00",1
17677,"2011-12-08 09:56:00",1
14730,"2011-12-08 14:39:00",1
13394,"2011-12-08 11:36:00",1
17491,"2011-12-08 16:18:00",1
12437,"2011-12-08 11:35:00",1
15898,"2011-12-08 15:23:00",1
14702,"2011-12-08 19:29:00",1
17451,"2011-12-08 15:02:00",1
17830,"2011-12-08 12:28:00",1
16892,"2011-12-08 13:18:00",1
13408,"2011-12-08 09:05:00",1
16161,"2011-12-08 12:10:00",1
15399,"2011-12-08 13:04:00",1
14135,"2011-12-08 11:38:00",1
14138,"2011-12-08 12:44:00",1
13404,"2011-12-08 15:37:00",1
13536,"2011-12-08 16:38:00",1
16401,"2011-12-08 18:15:00",1
14415,"2011-12-08 14:38:00",1
14291,"2011-12-08 10:26:00",1
15877,"2011-12-08 11:53:00",1
12621,"2011-12-08 11:25:00",1
14911,"2011-12-08 15:54:00",1
14698,"2011-12-08 12:26:00",1
16523,"2011-12-08 09:06:00",1
