customer_id,total_spent,num_orders,avg_order_value
16446,168472.5,2,84236.25
15749,44534.3,3,14844.766666666668
15098,39916.5,3,13305.5
13687,11880.84,1,11880.84
18052,10877.18,1,10877.18
12590,9341.26,1,9341.26
12357,17437.66,2,8718.83
13902,34023.259999999995,5,6804.651999999999
12346,77556.46,12,6463.038333333334
12415,144033.37,24,6001.390416666666
12688,4873.81,1,4873.81
17450,244784.25,51,4799.691176470588
14091,9530.08,2,4765.04
16118,4376.25,1,4376.25
12752,4366.78,1,4366.78
12536,4279.71,1,4279.71
16000,12393.7,3,4131.233333333334
12454,16459.78,4,4114.945
18102,580987.04,145,4006.8071724137935
14088,64036.8,16,4002.3
15195,3861.0,1,3861.0
14646,526751.52,145,3632.769103448276
12753,21429.39,6,3571.565
14028,10396.5,3,3465.5
12409,23419.29,7,3345.612857142857
14096,53258.43,17,3132.8488235294117
12511,3084.02,1,3084.02
18251,26278.86,9,2919.8733333333334
17511,172132.87,60,2868.8811666666666
13205,2803.2,1,2803.2
12378,5416.32,2,2708.16
14459,5375.741,2,2687.8705
16684,147142.77,55,2675.3230909090908
13422,2626.3,1,2626.3
12671,2622.481,1,2622.481
17313,2328.84,1,2328.84
12435,13925.93,6,2320.9883333333332
16077,2300.3999999999996,1,2300.3999999999996
17404,47638.12,21,2268.481904761905
12557,18096.14,8,2262.0175
16754,65500.07,29,2258.6231034482757
17308,4511.76,2,2255.88
12477,20276.37,9,2252.93
12678,32595.18,15,2173.012
15838,73205.5,34,2153.1029411764707
17305,2135.46,1,2135.46
12798,8510.93,4,2127.7325
14156,303069.88,144,2104.6519444444443
14277,16789.16,8,2098.645
16749,4157.88,2,2078.94
13935,6116.92,3,2038.9733333333334
13081,56838.37,28,2029.9417857142857
17940,28389.58,14,2027.827142857143
12501,2025.39,1,2025.39
12497,5996.500000000001,3,1998.8333333333337
15481,1993.34,1,1993.34
17039,1954.99,1,1954.99
15823,3867.1700000000005,2,1933.5850000000003
