customer_id,num_orders,total_spent,avg_order_value
18102,145,580987.04,4006.8071724137935
14646,145,526751.52,3632.769103448276
14156,144,303069.88,2104.6519444444443
14911,373,272252.79,729.9002412868632
17450,51,244784.25,4799.691176470588
13694,143,195640.69,1368.116713286713
17511,60,172132.87,2868.8811666666666
16446,2,168472.5,84236.25
16684,55,147142.77,2675.3230909090908
12415,24,144033.37,6001.390416666666
15061,127,126387.57,995.177716535433
15311,207,114671.42,553.9682125603865
13089,203,113416.91,558.7039901477833
16029,106,109620.87,1034.159150943396
17949,116,107833.48,929.5989655172414
12931,57,92347.34,1620.1287719298246
14298,82,91194.49,1112.1279268292683
15769,46,88612.52,1926.3591304347824
12346,12,77556.46,6463.038333333334
13798,110,75428.87,685.717
15838,34,73205.5,2153.1029411764707
17841,211,68519.95,324.73909952606635
16754,29,65500.07,2258.623103448276
14088,16,64036.8,4002.3
16422,108,61728.87,571.5636111111112
17389,61,57215.33,937.9562295081968
13081,28,56838.37,2029.9417857142855
16013,84,56078.44,667.6004761904762
14680,58,55688.5,960.146551724138
13093,55,54144.25,984.4409090909091
14096,17,53258.43,3132.848823529412
17850,155,51208.87,330.3798064516129
13408,106,50174.782,473.347
13777,61,49638.26,813.7419672131148
12748,322,49176.74,152.72279503105588
17404,21,47638.12,2268.481904761905
13881,43,45179.1,1050.6767441860466
15749,3,44534.3,14844.766666666668
16705,42,43515.051,1036.072642857143
15098,3,39916.5,13305.5
15039,93,39141.48,420.8761290322581
14031,44,39019.51,886.8070454545455
17675,70,37642.48,537.7497142857143
17381,38,36398.65,957.8592105263158
12921,74,35233.24,476.1248648648648
12471,71,35099.9,494.3647887323944
17677,54,35058.46,649.2307407407408
13902,5,34023.26,6804.652
13767,73,33903.57,464.4324657534247
16210,33,33730.97,1022.1506060606062
16779,53,32809.03,619.0383018867924
12678,15,32595.18,2173.012
15856,52,32274.69,620.6671153846154
14258,25,32051.34,1282.0536
17428,45,31466.76,699.2613333333334
14606,184,29648.75,161.13451086956522
12709,32,29487.18,921.474375
13078,57,29018.06,509.0887719298246
13098,28,28882.44,1031.5157142857142
