customer_id,invoice_date,recency_days
12423,2011-12-09 10:10:00.000000,0
12433,2011-12-09 10:02:00.000000,0
12518,2011-12-09 10:13:00.000000,0
12526,2011-12-09 12:09:00.000000,0
12662,2011-12-09 11:59:00.000000,0
12680,2011-12-09 12:50:00.000000,0
12713,2011-12-09 12:16:00.000000,0
12748,2011-12-09 12:20:00.000000,0
12955,2011-12-08 16:29:00.000000,0
12985,2011-12-09 10:46:00.000000,0
13013,2011-12-08 15:01:00.000000,0
13026,2011-12-08 16:58:00.000000,0
13069,2011-12-09 08:39:00.000000,0
13077,2011-12-08 19:24:00.000000,0
13098,2011-12-08 14:14:00.000000,0
13102,2011-12-08 12:52:00.000000,0
13113,2011-12-09 12:49:00.000000,0
13263,2011-12-08 13:59:00.000000,0
13269,2011-12-08 14:53:00.000000,0
13298,2011-12-08 13:11:00.000000,0
13318,2011-12-08 18:51:00.000000,0
13404,2011-12-08 15:37:00.000000,0
13426,2011-12-09 08:59:00.000000,0
13471,2011-12-08 15:44:00.000000,0
13510,2011-12-08 13:46:00.000000,0
13521,2011-12-08 13:50:00.000000,0
13536,2011-12-08 16:38:00.000000,0
13599,2011-12-08 16:10:00.000000,0
13680,2011-12-08 13:47:00.000000,0
13777,2011-12-09 12:25:00.000000,0
13798,2011-12-08 15:51:00.000000,0
13860,2011-12-08 12:57:00.000000,0
13890,2011-12-08 15:36:00.000000,0
14051,2011-12-09 10:20:00.000000,0
14056,2011-12-08 13:36:00.000000,0
14415,2011-12-08 14:38:00.000000,0
14422,2011-12-09 11:26:00.000000,0
14441,2011-12-09 09:07:00.000000,0
14446,2011-12-09 11:34:00.000000,0
14569,2011-12-08 14:58:00.000000,0
14606,2011-12-08 19:28:00.000000,0
14621,2011-12-08 16:22:00.000000,0
14653,2011-12-08 13:45:00.000000,0
14702,2011-12-08 19:29:00.000000,0
14730,2011-12-08 14:39:00.000000,0
14796,2011-12-08 15:31:00.000000,0
14911,2011-12-08 15:54:00.000000,0
15156,2011-12-08 18:22:00.000000,0
15189,2011-12-08 13:22:00.000000,0
15208,2011-12-08 17:24:00.000000,0
15311,2011-12-09 12:00:00.000000,0
15344,2011-12-09 10:45:00.000000,0
15399,2011-12-08 13:04:00.000000,0
15484,2011-12-08 15:03:00.000000,0
15694,2011-12-09 09:44:00.000000,0
15796,2011-12-08 19:55:00.000000,0
15804,2011-12-09 12:31:00.000000,0
15898,2011-12-08 15:23:00.000000,0
15910,2011-12-09 10:51:00.000000,0
16322,2011-12-08 15:41:00.000000,0
16358,2011-12-08 15:09:00.000000,0
16401,2011-12-08 18:15:00.000000,0
16446,2011-12-09 09:15:00.000000,0
16558,2011-12-09 10:20:00.000000,0
16626,2011-12-09 11:56:00.000000,0
16688,2011-12-08 15:24:00.000000,0
16705,2011-12-09 12:08:00.000000,0
16794,2011-12-08 17:54:00.000000,0
16833,2011-12-08 14:39:00.000000,0
16892,2011-12-08 13:18:00.000000,0
16933,2011-12-08 12:54:00.000000,0
16954,2011-12-09 09:46:00.000000,0
17001,2011-12-09 09:38:00.000000,0
17144,2011-12-08 17:57:00.000000,0
17243,2011-12-08 13:26:00.000000,0
17364,2011-12-09 09:00:00.000000,0
17389,2011-12-09 09:38:00.000000,0
17405,2011-12-08 17:12:00.000000,0
17428,2011-12-09 09:45:00.000000,0
17451,2011-12-08 15:02:00.000000,0
17490,2011-12-09 09:08:00.000000,0
17491,2011-12-08 16:18:00.000000,0
17528,2011-12-08 13:27:00.000000,0
17530,2011-12-08 18:42:00.000000,0
17554,2011-12-08 14:15:00.000000,0
17581,2011-12-09 12:21:00.000000,0
17644,2011-12-08 13:43:00.000000,0
17668,2011-12-08 13:25:00.000000,0
17675,2011-12-08 18:03:00.000000,0
17754,2011-12-09 11:20:00.000000,0
17757,2011-12-08 15:31:00.000000,0
17949,2011-12-08 18:46:00.000000,0
18102,2011-12-09 11:50:00.000000,0
12347,2011-12-07 15:52:00.000000,1
12358,2011-12-08 10:26:00.000000,1
12437,2011-12-08 11:35:00.000000,1
12471,2011-12-07 15:43:00.000000,1
12569,2011-12-07 16:24:00.000000,1
12615,2011-12-07 15:02:00.000000,1
12621,2011-12-08 11:25:00.000000,1
12747,2011-12-07 14:34:00.000000,1
12783,2011-12-07 15:56:00.000000,1
12935,2011-12-07 17:25:00.000000,1
12950,2011-12-07 13:17:00.000000,1
13314,2011-12-08 12:29:00.000000,1
13394,2011-12-08 11:36:00.000000,1
13408,2011-12-08 09:05:00.000000,1
13436,2011-12-08 10:33:00.000000,1
13468,2011-12-08 10:39:00.000000,1
13534,2011-12-07 14:52:00.000000,1
13756,2011-12-07 16:44:00.000000,1
13767,2011-12-07 15:00:00.000000,1
13769,2011-12-07 15:08:00.000000,1
13870,2011-12-07 13:23:00.000000,1
13924,2011-12-08 09:39:00.000000,1
13954,2011-12-08 12:50:00.000000,1
14032,2011-12-07 15:23:00.000000,1
14085,2011-12-07 13:46:00.000000,1
14129,2011-12-08 11:02:00.000000,1
14132,2011-12-07 13:35:00.000000,1
14135,2011-12-08 11:38:00.000000,1
14138,2011-12-08 12:44:00.000000,1
14189,2011-12-07 15:55:00.000000,1
14191,2011-12-08 09:23:00.000000,1
14204,2011-12-07 13:38:00.000000,1
14217,2011-12-08 11:53:00.000000,1
14251,2011-12-08 08:32:00.000000,1
14291,2011-12-08 10:26:00.000000,1
14395,2011-12-07 14:34:00.000000,1
14520,2011-12-08 09:46:00.000000,1
14646,2011-12-08 12:12:00.000000,1
14698,2011-12-08 12:26:00.000000,1
14719,2011-12-08 12:43:00.000000,1
14904,2011-12-07 12:55:00.000000,1
15159,2011-12-08 12:05:00.000000,1
15187,2011-12-08 11:56:00.000000,1
15214,2011-12-08 12:07:00.000000,1
15237,2011-12-08 09:46:00.000000,1
15298,2011-12-07 17:17:00.000000,1
15443,2011-12-08 10:40:00.000000,1
15453,2011-12-08 10:59:00.000000,1
15471,2011-12-07 14:12:00.000000,1
15520,2011-12-08 10:58:00.000000,1
15525,2011-12-07 14:43:00.000000,1
15701,2011-12-07 14:39:00.000000,1
15877,2011-12-08 11:53:00.000000,1
15883,2011-12-07 17:05:00.000000,1
16161,2011-12-08 12:10:00.000000,1
16210,2011-12-08 12:36:00.000000,1
